id,product_series,product_name,manufacturer,product_type,supported_protocols
1045,Tmax XT7,Tmax XT7 & Ekip Hi-Touch & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
1046,FR-D Series,FR-D700/700SC,Mitsubishi,Variable Frequency Drives,modbus
1047,CIO,EN,Littelfuse,Protection Relays,modbus
1048,Tmax T6,Tmax T6 & PR222DS/PD,ABB,Circuit Breakers,modbus
1049,PowerLogic,Enercept,Schneider Electric,Power Meters,modbus
1050,Z,Z1000U,Yaskawa,Variable Frequency Drives,modbus
1051,PowerLogic,ION8400,Schneider Electric,Power Meters,modbus
1052,PowerLogic,BCPMSC-C,Schneider Electric,Power Meters,modbus
1053,PowerMonitor,500,Rockwell Automation,Power Meters,modbus
1054,PMC,D726M,CET,Power Meters,modbus
1055,Tmax XT2,Tmax XT2 & Ekip M-LRIU & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
1056,Type DSII,Type DSII,Eaton,Circuit Breakers,modbus
1057,Integra,1630,TE Connectivity,Power Meters,modbus
1058,Sepam,Series 20,Schneider Electric,Protection Relays,modbus
1059,Energy management and measurement,EMDX3,Legrand,Power Meters,modbus
1060,ACH,550,ABB,Variable Frequency Drives,modbus | ethernet-ip
1061,IQ,IQ250S,Eaton,Power Meters,modbus
1062,Tmax T1,Tmax T1 & Ekip Signaling Modbus TCP,ABB,Circuit Breakers,modbus
1063,AcuRev,2000,Accuenergy,Power Meters,modbus
1064,Integra,1000,TE Connectivity,Power Meters,modbus
1065,Q,Brick 4,Quadlogic Controls Corp,Power Meters,modbus
1066,PQM,I,General Electric,Power Meters,modbus
1067,Tmax XT2,Tmax XT2 & Ekip LSIG & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
1068,Tmax XT2,Tmax XT2 & Ekip Touch Measuring & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
1069,Liebert,NX-225-600,Vertiv Group Corp,Uninterruptible Power Supplies,modbus
1070,Masterpact MTZ,Micrologic type X,Schneider Electric,Circuit Breakers,modbus
1071,F-PRO,298,ERL,Protection Relays,modbus
1072,DSLII,DSLII & Digitrip RMS 810 & mMint,Eaton,Circuit Breakers,modbus
1073,Vacon,20,Danfoss,Variable Frequency Drives,modbus | ethernet-ip
